id,category,name,bit_width,complexity,description,rtl_code,testbench,verified,quality_score
0b3d2ed0d49bae82,sequential,counter_8bit,16,simple,16-bit Johnson counter,"//==============================================================================
// Module: counter_8bit
// Description: 16-bit Johnson counter
//
// Generated by: RTL-Gen AII
// Date: 2026-03-19 13:14:35
//==============================================================================

module counter_8bit(
  input        clk,
  input        reset,
  input        enable,
  output reg [7:0] count
  );
  always @(posedge clk) begin
    if (reset)
    count <= 8'b0;
    else if (enable)
    count <= count + 1;
  end
endmodule
","//==============================================================================
// Module: counter_8bit_tb
// Description: Testbench for counter_8bit
//
// Generated by: RTL-Gen AII
// Date: 2026-03-19 13:14:35
//==============================================================================

`timescale 1ns/1ps

module counter_8bit_tb;
  reg clk, reset, enable;
  wire [7:0] count;

  counter_8bit dut(.*);

  initial begin clk = 0; forever #5 clk = ~clk; end

    initial begin
      $dumpfile(""counter.vcd"");
      $dumpvars(0, counter_8bit_tb);
      reset = 1; enable = 0;
      #20 reset = 0; enable = 1;
      #100 $finish;
    end
endmodule
",True,8.5
1cb3f93ec0256f1d,sequential,counter_8bit,16,simple,16-bit counter with parallel load,"//==============================================================================
// Module: counter_8bit
// Description: 16-bit counter with parallel load
//
// Generated by: RTL-Gen AII
// Date: 2026-03-19 13:16:43
//==============================================================================

module counter_8bit(
  input        clk,
  input        reset,
  input        enable,
  output reg [7:0] count
  );
  always @(posedge clk) begin
    if (reset)
    count <= 8'b0;
    else if (enable)
    count <= count + 1;
  end
endmodule
","//==============================================================================
// Module: counter_8bit_tb
// Description: Testbench for counter_8bit
//
// Generated by: RTL-Gen AII
// Date: 2026-03-19 13:16:43
//==============================================================================

`timescale 1ns/1ps

module counter_8bit_tb;
  reg clk, reset, enable;
  wire [7:0] count;

  counter_8bit dut(.*);

  initial begin clk = 0; forever #5 clk = ~clk; end

    initial begin
      $dumpfile(""counter.vcd"");
      $dumpvars(0, counter_8bit_tb);
      reset = 1; enable = 0;
      #20 reset = 0; enable = 1;
      #100 $finish;
    end
endmodule
",True,8.5
3d7a62541901eeb0,sequential,counter_8bit,16,simple,16-bit ring counter,"//==============================================================================
// Module: counter_8bit
// Description: 16-bit ring counter
//
// Generated by: RTL-Gen AII
// Date: 2026-03-19 13:14:22
//==============================================================================

module counter_8bit(
  input        clk,
  input        reset,
  input        enable,
  output reg [7:0] count
  );
  always @(posedge clk) begin
    if (reset)
    count <= 8'b0;
    else if (enable)
    count <= count + 1;
  end
endmodule
","//==============================================================================
// Module: counter_8bit_tb
// Description: Testbench for counter_8bit
//
// Generated by: RTL-Gen AII
// Date: 2026-03-19 13:14:22
//==============================================================================

`timescale 1ns/1ps

module counter_8bit_tb;
  reg clk, reset, enable;
  wire [7:0] count;

  counter_8bit dut(.*);

  initial begin clk = 0; forever #5 clk = ~clk; end

    initial begin
      $dumpfile(""counter.vcd"");
      $dumpvars(0, counter_8bit_tb);
      reset = 1; enable = 0;
      #20 reset = 0; enable = 1;
      #100 $finish;
    end
endmodule
",True,8.5
431b0b38437a06c8,sequential,counter_8bit,16,simple,16-bit counter,"//==============================================================================
// Module: counter_8bit
// Description: 16-bit counter
//
// Generated by: RTL-Gen AII
// Date: 2026-03-19 13:14:18
//==============================================================================

module counter_8bit(
  input        clk,
  input        reset,
  input        enable,
  output reg [7:0] count
  );
  always @(posedge clk) begin
    if (reset)
    count <= 8'b0;
    else if (enable)
    count <= count + 1;
  end
endmodule
","//==============================================================================
// Module: counter_8bit_tb
// Description: Testbench for counter_8bit
//
// Generated by: RTL-Gen AII
// Date: 2026-03-19 13:14:18
//==============================================================================

`timescale 1ns/1ps

module counter_8bit_tb;
  reg clk, reset, enable;
  wire [7:0] count;

  counter_8bit dut(.*);

  initial begin clk = 0; forever #5 clk = ~clk; end

    initial begin
      $dumpfile(""counter.vcd"");
      $dumpvars(0, counter_8bit_tb);
      reset = 1; enable = 0;
      #20 reset = 0; enable = 1;
      #100 $finish;
    end
endmodule
",True,8.5
54e928c05e19a8b1,sequential,counter_8bit,16,simple,16-bit up counter with reset,"//==============================================================================
// Module: counter_8bit
// Description: 16-bit up counter with reset
//
// Generated by: RTL-Gen AII
// Date: 2026-03-19 13:14:30
//==============================================================================

module counter_8bit(
  input        clk,
  input        reset,
  input        enable,
  output reg [7:0] count
  );
  always @(posedge clk) begin
    if (reset)
    count <= 8'b0;
    else if (enable)
    count <= count + 1;
  end
endmodule
","//==============================================================================
// Module: counter_8bit_tb
// Description: Testbench for counter_8bit
//
// Generated by: RTL-Gen AII
// Date: 2026-03-19 13:14:30
//==============================================================================

`timescale 1ns/1ps

module counter_8bit_tb;
  reg clk, reset, enable;
  wire [7:0] count;

  counter_8bit dut(.*);

  initial begin clk = 0; forever #5 clk = ~clk; end

    initial begin
      $dumpfile(""counter.vcd"");
      $dumpvars(0, counter_8bit_tb);
      reset = 1; enable = 0;
      #20 reset = 0; enable = 1;
      #100 $finish;
    end
endmodule
",True,8.5
5a56081b8d9ccde0,sequential,counter_8bit,16,simple,16-bit counter with parallel load,"//==============================================================================
// Module: counter_8bit
// Description: 16-bit counter with parallel load
//
// Generated by: RTL-Gen AII
// Date: 2026-03-19 13:14:10
//==============================================================================

module counter_8bit(
  input        clk,
  input        reset,
  input        enable,
  output reg [7:0] count
  );
  always @(posedge clk) begin
    if (reset)
    count <= 8'b0;
    else if (enable)
    count <= count + 1;
  end
endmodule
","//==============================================================================
// Module: counter_8bit_tb
// Description: Testbench for counter_8bit
//
// Generated by: RTL-Gen AII
// Date: 2026-03-19 13:14:10
//==============================================================================

`timescale 1ns/1ps

module counter_8bit_tb;
  reg clk, reset, enable;
  wire [7:0] count;

  counter_8bit dut(.*);

  initial begin clk = 0; forever #5 clk = ~clk; end

    initial begin
      $dumpfile(""counter.vcd"");
      $dumpvars(0, counter_8bit_tb);
      reset = 1; enable = 0;
      #20 reset = 0; enable = 1;
      #100 $finish;
    end
endmodule
",True,8.5
6614e6e596952646,sequential,counter_8bit,16,simple,16-bit counter,"//==============================================================================
// Module: counter_8bit
// Description: 16-bit counter
//
// Generated by: RTL-Gen AII
// Date: 2026-03-19 13:16:56
//==============================================================================

module counter_8bit(
  input        clk,
  input        reset,
  input        enable,
  output reg [7:0] count
  );
  always @(posedge clk) begin
    if (reset)
    count <= 8'b0;
    else if (enable)
    count <= count + 1;
  end
endmodule
","//==============================================================================
// Module: counter_8bit_tb
// Description: Testbench for counter_8bit
//
// Generated by: RTL-Gen AII
// Date: 2026-03-19 13:16:56
//==============================================================================

`timescale 1ns/1ps

module counter_8bit_tb;
  reg clk, reset, enable;
  wire [7:0] count;

  counter_8bit dut(.*);

  initial begin clk = 0; forever #5 clk = ~clk; end

    initial begin
      $dumpfile(""counter.vcd"");
      $dumpvars(0, counter_8bit_tb);
      reset = 1; enable = 0;
      #20 reset = 0; enable = 1;
      #100 $finish;
    end
endmodule
",True,8.5
6aa6baf380badb81,sequential,counter_8bit,16,simple,16-bit up-down counter with reset and enable,"//==============================================================================
// Module: counter_8bit
// Description: 16-bit up-down counter with reset and enable
//
// Generated by: RTL-Gen AII
// Date: 2026-03-19 13:14:20
//==============================================================================

module counter_8bit(
  input        clk,
  input        reset,
  input        enable,
  output reg [7:0] count
  );
  always @(posedge clk) begin
    if (reset)
    count <= 8'b0;
    else if (enable)
    count <= count + 1;
  end
endmodule
","//==============================================================================
// Module: counter_8bit_tb
// Description: Testbench for counter_8bit
//
// Generated by: RTL-Gen AII
// Date: 2026-03-19 13:14:20
//==============================================================================

`timescale 1ns/1ps

module counter_8bit_tb;
  reg clk, reset, enable;
  wire [7:0] count;

  counter_8bit dut(.*);

  initial begin clk = 0; forever #5 clk = ~clk; end

    initial begin
      $dumpfile(""counter.vcd"");
      $dumpvars(0, counter_8bit_tb);
      reset = 1; enable = 0;
      #20 reset = 0; enable = 1;
      #100 $finish;
    end
endmodule
",True,8.5
ae28ba7263a074ee,sequential,counter_8bit,16,simple,16-bit gray counter,"//==============================================================================
// Module: counter_8bit
// Description: 16-bit gray counter
//
// Generated by: RTL-Gen AII
// Date: 2026-03-19 13:16:45
//==============================================================================

module counter_8bit(
  input        clk,
  input        reset,
  input        enable,
  output reg [7:0] count
  );
  always @(posedge clk) begin
    if (reset)
    count <= 8'b0;
    else if (enable)
    count <= count + 1;
  end
endmodule
","//==============================================================================
// Module: counter_8bit_tb
// Description: Testbench for counter_8bit
//
// Generated by: RTL-Gen AII
// Date: 2026-03-19 13:16:45
//==============================================================================

`timescale 1ns/1ps

module counter_8bit_tb;
  reg clk, reset, enable;
  wire [7:0] count;

  counter_8bit dut(.*);

  initial begin clk = 0; forever #5 clk = ~clk; end

    initial begin
      $dumpfile(""counter.vcd"");
      $dumpvars(0, counter_8bit_tb);
      reset = 1; enable = 0;
      #20 reset = 0; enable = 1;
      #100 $finish;
    end
endmodule
",True,8.5
b9fe646dac175a2b,sequential,counter_8bit,16,simple,16-bit down counter with reset,"//==============================================================================
// Module: counter_8bit
// Description: 16-bit down counter with reset
//
// Generated by: RTL-Gen AII
// Date: 2026-03-19 13:14:07
//==============================================================================

module counter_8bit(
  input        clk,
  input        reset,
  input        enable,
  output reg [7:0] count
  );
  always @(posedge clk) begin
    if (reset)
    count <= 8'b0;
    else if (enable)
    count <= count + 1;
  end
endmodule
","//==============================================================================
// Module: counter_8bit_tb
// Description: Testbench for counter_8bit
//
// Generated by: RTL-Gen AII
// Date: 2026-03-19 13:14:07
//==============================================================================

`timescale 1ns/1ps

module counter_8bit_tb;
  reg clk, reset, enable;
  wire [7:0] count;

  counter_8bit dut(.*);

  initial begin clk = 0; forever #5 clk = ~clk; end

    initial begin
      $dumpfile(""counter.vcd"");
      $dumpvars(0, counter_8bit_tb);
      reset = 1; enable = 0;
      #20 reset = 0; enable = 1;
      #100 $finish;
    end
endmodule
",True,8.5
